Month,Points,Ranking,Team
2011-09-01,1615,60,Aston Villa FC
2011-10-01,1616,65,Aston Villa FC
2011-11-01,1597,79,Aston Villa FC
2011-12-01,1598,83,Aston Villa FC
2012-01-01,1613,66,Aston Villa FC
2012-02-01,1591,83,Aston Villa FC
2012-03-01,1566,114,Aston Villa FC
2012-04-01,1555,134,Aston Villa FC
2012-05-01,1532,173,Aston Villa FC
2012-06-01,1518,194,Aston Villa FC
2012-07-01,1518,196,Aston Villa FC
2012-08-01,1518,194,Aston Villa FC
2012-09-01,1489,308,Aston Villa FC
2012-10-01,1499,277,Aston Villa FC
2012-11-01,1483,319,Aston Villa FC
2012-12-01,1514,207,Aston Villa FC
2013-01-01,1481,325,Aston Villa FC
2013-02-01,1463,375,Aston Villa FC
2013-03-01,1482,325,Aston Villa FC
2013-04-01,1494,301,Aston Villa FC
2013-05-01,1545,149,Aston Villa FC
2013-06-01,1557,131,Aston Villa FC
2013-07-01,1557,134,Aston Villa FC
2013-08-01,1557,137,Aston Villa FC
2013-09-01,1580,102,Aston Villa FC
2013-10-01,1599,88,Aston Villa FC
2013-11-01,1558,137,Aston Villa FC
2013-12-01,1573,114,Aston Villa FC
2014-01-01,1519,202,Aston Villa FC
2014-02-01,1553,139,Aston Villa FC
2014-03-01,1510,217,Aston Villa FC
2014-04-01,1518,196,Aston Villa FC
2014-05-01,1472,352,Aston Villa FC
2014-06-01,1479,336,Aston Villa FC
2014-07-01,1479,334,Aston Villa FC
2014-08-01,1479,336,Aston Villa FC
2014-09-01,1509,215,Aston Villa FC
2014-10-01,1520,196,Aston Villa FC
2014-11-01,1482,324,Aston Villa FC
2014-12-01,1487,318,Aston Villa FC
2015-01-01,1504,235,Aston Villa FC
2015-02-01,1474,347,Aston Villa FC
2015-03-01,1432,510,Aston Villa FC
2015-04-01,1473,350,Aston Villa FC
2015-05-01,1489,305,Aston Villa FC
2015-06-01,1487,318,Aston Villa FC
2015-07-01,1487,320,Aston Villa FC
2015-08-01,1487,322,Aston Villa FC
2015-09-01,1488,321,Aston Villa FC
2015-10-01,1461,391,Aston Villa FC
2015-11-01,1432,506,Aston Villa FC
2015-12-01,1418,563,Aston Villa FC
2016-01-01,1422,551,Aston Villa FC
2016-02-01,1445,465,Aston Villa FC
2016-03-01,1428,529,Aston Villa FC
2016-04-01,1397,659,Aston Villa FC
2016-05-01,1357,870,Aston Villa FC
2016-06-01,1357,876,Aston Villa FC
2016-07-01,1357,878,Aston Villa FC
2016-08-01,1357,881,Aston Villa FC
2016-09-01,1357,876,Aston Villa FC
2016-10-01,1357,878,Aston Villa FC
2016-11-01,1357,882,Aston Villa FC
2016-12-01,1357,880,Aston Villa FC
2017-01-01,1357,865,Aston Villa FC
2017-02-01,1357,871,Aston Villa FC
2017-03-01,1357,875,Aston Villa FC
2017-04-01,1357,878,Aston Villa FC
2017-05-01,1357,877,Aston Villa FC
2017-06-01,1357,885,Aston Villa FC
2017-07-01,1357,884,Aston Villa FC
2017-08-01,1357,880,Aston Villa FC
2017-09-01,1357,885,Aston Villa FC
2017-10-01,1357,884,Aston Villa FC
2017-11-01,1357,881,Aston Villa FC
2017-12-01,1357,887,Aston Villa FC
2018-01-01,1357,889,Aston Villa FC
2018-02-01,1357,886,Aston Villa FC
2018-03-01,1357,881,Aston Villa FC
2018-04-01,1357,889,Aston Villa FC
2018-05-01,1357,889,Aston Villa FC
2018-06-01,1357,889,Aston Villa FC
2018-07-01,1357,888,Aston Villa FC
2018-08-01,1357,888,Aston Villa FC
2018-09-01,1357,887,Aston Villa FC
2018-10-01,1357,884,Aston Villa FC
2018-11-01,1357,888,Aston Villa FC
2018-12-01,1357,888,Aston Villa FC
2019-01-01,1357,891,Aston Villa FC
2019-02-01,1357,887,Aston Villa FC
2019-03-01,1357,892,Aston Villa FC
2019-04-01,1357,895,Aston Villa FC
2019-05-01,1357,895,Aston Villa FC
2019-06-01,1357,904,Aston Villa FC
2019-07-01,1357,902,Aston Villa FC
2019-08-01,1357,901,Aston Villa FC
2019-09-01,1378,774,Aston Villa FC
2019-10-01,1388,711,Aston Villa FC
2019-11-01,1443,456,Aston Villa FC
2019-12-01,1466,375,Aston Villa FC
2020-01-01,1426,524,Aston Villa FC
2020-02-01,1469,366,Aston Villa FC
2020-03-01,1445,461,Aston Villa FC
2020-04-01,1439,480,Aston Villa FC
2020-05-01,1439,480,Aston Villa FC
2020-06-01,1439,479,Aston Villa FC
2020-07-01,1439,480,Aston Villa FC
2020-08-01,1497,306,Aston Villa FC
2020-09-01,1497,309,Aston Villa FC
2020-10-01,1537,205,Aston Villa FC
2020-11-01,1575,139,Aston Villa FC
2020-12-01,1576,142,Aston Villa FC
2021-01-01,1645,74,Aston Villa FC
2021-02-01,1657,65,Aston Villa FC
2021-03-01,1653,73,Aston Villa FC
2021-04-01,1610,104,Aston Villa FC
2021-05-01,1604,112,Aston Villa FC
2021-06-01,1646,75,Aston Villa FC
2021-07-01,1646,74,Aston Villa FC
2021-08-01,1646,72,Aston Villa FC
2021-09-01,1639,77,Aston Villa FC
2021-10-01,1684,58,Aston Villa FC
2021-11-01,1618,98,Aston Villa FC
2021-12-01,1645,76,Aston Villa FC
2022-01-01,1650,73,Aston Villa FC
2022-02-01,1654,73,Aston Villa FC
2022-03-01,1641,80,Aston Villa FC
2022-04-01,1667,68,Aston Villa FC
2022-05-01,1643,78,Aston Villa FC
2022-06-01,1652,76,Aston Villa FC
2022-07-01,1652,76,Aston Villa FC
2022-08-01,1652,76,Aston Villa FC
2022-09-01,1600,119,Aston Villa FC
2022-10-01,1620,94,Aston Villa FC
2022-11-01,1597,129,Aston Villa FC
2022-12-01,1650,77,Aston Villa FC
2023-01-01,1641,86,Aston Villa FC
2023-02-01,1689,55,Aston Villa FC
2023-03-01,1662,66,Aston Villa FC
2023-04-01,1685,59,Aston Villa FC
2023-05-01,1766,25,Aston Villa FC
2023-06-01,1779,22,Aston Villa FC
